iter	Passed	Remaining
0	134	134177
1	135	67588
2	136	45380
3	137	34268
4	138	27609
5	139	23163
6	140	19987
7	142	17611
8	143	15751
9	144	14280
10	145	13073
11	146	12089
12	148	11238
13	149	10509
14	150	9877
15	151	9320
16	152	8828
17	153	8378
18	154	7983
19	155	7625
20	156	7308
21	157	7010
22	158	6739
23	159	6495
24	160	6268
25	162	6070
26	163	5883
27	164	5700
28	165	5547
29	166	5395
30	168	5266
31	169	5138
32	171	5012
33	172	4893
34	173	4782
35	174	4677
36	175	4573
37	177	4490
38	178	4396
39	179	4302
40	180	4219
41	181	4145
42	182	4069
43	183	3996
44	184	3924
45	186	3861
46	187	3800
47	188	3743
48	189	3680
49	190	3618
50	191	3559
51	192	3504
52	193	3451
53	194	3403
54	195	3358
55	196	3311
56	197	3266
57	198	3228
58	199	3186
59	201	3150
60	202	3111
61	203	3077
62	204	3040
63	205	3004
64	206	2970
65	207	2939
66	209	2917
67	210	2880
68	211	2853
69	212	2825
70	213	2798
71	214	2768
72	215	2738
73	216	2710
74	217	2684
75	218	2656
76	219	2633
77	220	2611
78	222	2588
79	222	2564
80	224	2541
81	225	2523
82	226	2502
83	227	2482
84	228	2456
85	229	2442
86	230	2420
87	231	2402
88	232	2384
89	234	2370
90	235	2353
91	236	2336
92	237	2320
93	239	2305
94	239	2286
95	240	2268
96	241	2252
97	242	2234
98	243	2218
99	244	2203
100	246	2189
101	246	2170
102	247	2156
103	248	2143
104	250	2131
105	251	2118
106	252	2104
107	253	2090
108	254	2078
109	255	2065
110	256	2051
111	257	2038
112	258	2026
113	259	2016
114	260	2005
115	261	1993
116	262	1982
117	263	1971
118	264	1958
119	265	1947
120	266	1935
121	267	1924
122	267	1910
123	268	1899
124	270	1890
125	271	1880
126	272	1872
127	273	1861
128	274	1852
129	275	1844
130	276	1835
131	277	1827
132	278	1818
133	279	1808
134	280	1799
135	281	1791
136	282	1782
137	283	1773
138	284	1765
139	286	1757
140	287	1749
141	288	1741
142	289	1734
143	290	1727
144	291	1718
145	292	1710
146	293	1701
147	294	1695
148	295	1689
149	296	1681
150	297	1674
151	299	1668
152	300	1662
153	301	1657
154	302	1651
155	303	1643
156	304	1635
157	305	1628
158	306	1621
159	307	1615
160	309	1610
161	310	1604
162	311	1597
163	312	1593
164	313	1586
165	314	1581
166	316	1576
167	316	1569
168	317	1562
169	318	1555
170	320	1551
171	321	1545
172	322	1540
173	323	1533
174	324	1529
175	325	1523
176	326	1518
177	327	1513
178	329	1509
179	330	1504
180	330	1496
181	332	1493
182	333	1488
183	334	1482
184	335	1477
185	336	1471
186	337	1467
187	338	1462
188	339	1458
189	340	1452
190	341	1447
191	342	1443
192	344	1438
193	345	1433
194	346	1429
195	347	1425
196	348	1420
197	349	1415
198	350	1411
199	351	1407
200	352	1403
201	353	1397
202	354	1393
203	355	1388
204	356	1383
205	357	1379
206	358	1374
207	359	1370
208	360	1366
209	362	1361
210	363	1358
211	364	1355
212	365	1351
213	366	1347
214	367	1343
215	369	1339
216	370	1335
217	371	1331
218	372	1327
219	373	1323
220	374	1319
221	375	1315
222	376	1311
223	377	1308
224	378	1304
225	379	1299
226	380	1295
227	381	1290
228	381	1286
229	382	1281
230	383	1278
231	385	1274
232	386	1270
233	387	1266
234	388	1264
235	389	1260
236	390	1258
237	391	1253
238	392	1249
239	393	1245
240	394	1241
241	395	1237
242	395	1233
243	396	1230
244	398	1226
245	399	1223
246	400	1220
247	401	1217
248	402	1214
249	403	1211
250	404	1207
251	405	1204
252	406	1200
253	407	1197
254	408	1193
255	409	1191
256	411	1188
257	411	1184
258	413	1184
259	415	1181
260	416	1178
261	417	1175
262	418	1171
263	419	1168
264	419	1164
265	420	1161
266	422	1158
267	423	1155
268	424	1152
269	425	1149
270	426	1147
271	427	1145
272	429	1142
273	430	1140
274	431	1137
275	432	1134
276	433	1130
277	434	1127
278	435	1125
279	436	1123
280	438	1120
281	439	1118
282	440	1115
283	441	1113
284	442	1110
285	443	1107
286	444	1104
287	445	1101
288	446	1099
289	448	1097
290	449	1094
291	450	1092
292	451	1089
293	452	1086
294	453	1084
295	454	1081
296	455	1078
297	456	1076
298	458	1073
299	459	1071
300	460	1069
301	461	1066
302	462	1064
303	464	1062
304	464	1059
305	465	1056
306	467	1055
307	468	1053
308	469	1050
309	471	1048
310	472	1046
311	473	1043
312	474	1041
313	475	1038
314	476	1036
315	478	1034
316	479	1032
317	480	1030
318	481	1028
319	482	1025
320	483	1022
321	484	1020
322	485	1018
323	486	1015
324	487	1013
325	489	1011
326	490	1009
327	491	1007
328	492	1004
329	493	1001
330	494	999
331	495	996
332	496	994
333	497	992
334	498	990
335	499	987
336	500	985
337	502	983
338	503	981
339	504	979
340	505	976
341	506	973
342	507	971
343	507	968
344	508	966
345	510	964
346	511	962
347	512	960
348	513	958
349	514	956
350	515	953
351	517	952
352	518	950
353	519	947
354	520	945
355	521	942
356	522	940
357	523	938
358	524	935
359	525	933
360	526	931
361	527	929
362	528	927
363	529	925
364	530	923
365	531	920
366	532	918
367	533	915
368	534	913
369	535	911
370	536	909
371	537	907
372	539	906
373	540	904
374	541	902
375	542	900
376	543	898
377	544	895
378	545	893
379	546	891
380	547	889
381	548	887
382	550	886
383	551	884
384	552	882
385	553	880
386	555	879
387	555	876
388	556	874
389	557	872
390	558	870
391	560	868
392	561	866
393	562	864
394	563	862
395	564	860
396	565	858
397	566	857
398	567	855
399	568	853
400	569	851
401	570	848
402	571	846
403	572	844
404	573	842
405	574	841
406	575	838
407	577	837
408	578	835
409	579	834
410	580	832
411	581	830
412	582	828
413	583	826
414	584	824
415	585	822
416	586	820
417	588	819
418	589	817
419	590	815
420	591	813
421	592	812
422	593	809
423	594	807
424	595	805
425	596	803
426	597	801
427	598	799
428	599	797
429	600	796
430	601	794
431	603	793
432	604	791
433	605	789
434	606	787
435	607	785
436	608	783
437	608	781
438	609	779
439	610	777
440	612	776
441	613	774
442	614	772
443	616	771
444	617	769
445	618	768
446	619	766
447	620	764
448	621	762
449	622	760
450	623	758
451	624	757
452	625	755
453	626	753
454	628	753
455	634	756
456	635	755
457	637	753
458	638	752
459	639	750
460	641	749
461	642	748
462	643	746
463	645	745
464	646	743
465	648	742
466	649	741
467	650	739
468	651	738
469	653	736
470	654	735
471	656	734
472	657	732
473	658	731
474	659	729
475	660	727
476	662	725
477	663	724
478	664	722
479	666	721
480	667	720
481	669	719
482	670	717
483	672	716
484	674	715
485	675	714
486	677	713
487	678	711
488	679	710
489	680	708
490	681	706
491	682	704
492	683	702
493	684	701
494	685	699
495	686	698
496	688	696
497	689	694
498	690	693
499	691	691
500	692	690
501	693	688
502	694	686
503	695	684
504	696	682
505	697	681
506	698	679
507	700	678
508	701	676
509	703	675
510	704	673
511	705	672
512	706	670
513	707	668
514	707	666
515	708	664
516	709	662
517	710	661
518	711	659
519	713	658
520	714	657
521	716	655
522	717	653
523	717	652
524	718	650
525	719	648
526	720	646
527	721	645
528	722	643
529	723	641
530	724	640
531	726	638
532	727	637
533	728	635
534	729	634
535	731	632
536	732	631
537	733	629
538	734	627
539	735	626
540	736	624
541	737	623
542	739	622
543	740	620
544	741	619
545	742	617
546	744	616
547	745	614
548	746	613
549	747	611
550	747	609
551	749	607
552	750	606
553	751	605
554	752	603
555	754	602
556	754	600
557	755	598
558	756	597
559	757	595
560	758	593
561	759	591
562	760	590
563	761	588
564	762	587
565	764	585
566	765	584
567	766	582
568	767	581
569	768	579
570	768	577
571	769	576
572	770	574
573	771	572
574	772	570
575	773	569
576	774	568
577	776	566
578	777	565
579	778	563
580	779	562
581	780	560
582	781	558
583	782	557
584	783	555
585	784	553
586	784	552
587	786	550
588	787	549
589	788	547
590	789	546
591	790	545
592	791	543
593	792	541
594	793	540
595	794	538
596	795	536
597	796	535
598	797	534
599	798	532
600	800	531
601	801	529
602	802	528
603	803	526
604	804	525
605	805	523
606	806	522
607	807	520
608	808	518
609	809	517
610	809	515
611	810	514
612	812	512
613	813	511
614	814	510
615	816	508
616	817	507
617	818	505
618	819	504
619	820	502
620	821	501
621	822	499
622	823	498
623	824	497
624	826	495
625	827	494
626	828	492
627	829	491
628	830	489
629	831	488
630	832	486
631	833	485
632	834	483
633	835	482
634	836	480
635	837	479
636	839	478
637	840	476
638	841	475
639	842	474
640	843	472
641	844	470
642	845	469
643	846	467
644	847	466
645	848	464
646	849	463
647	850	461
648	851	460
649	852	459
650	853	457
651	854	456
652	856	454
653	856	453
654	857	451
655	858	450
656	859	448
657	860	447
658	861	446
659	863	444
660	864	443
661	865	441
662	866	440
663	867	439
664	869	437
665	870	436
666	871	435
667	872	433
668	874	432
669	876	431
670	877	430
671	878	428
672	880	427
673	881	426
674	882	424
675	883	423
676	884	421
677	885	420
678	886	418
679	887	417
680	889	416
681	890	415
682	891	413
683	892	412
684	893	410
685	894	409
686	895	407
687	896	406
688	896	404
689	897	403
690	898	401
691	900	400
692	902	399
693	903	398
694	904	396
695	905	395
696	906	394
697	907	392
698	908	391
699	909	389
700	910	388
701	911	386
702	912	385
703	914	384
704	915	383
705	916	381
706	917	380
707	918	378
708	919	377
709	920	375
710	921	374
711	922	372
712	922	371
713	923	370
714	925	368
715	926	367
716	927	366
717	929	364
718	930	363
719	930	362
720	931	360
721	932	359
722	933	357
723	934	356
724	935	354
725	936	353
726	937	352
727	939	351
728	940	349
729	941	348
730	942	346
731	943	345
732	944	344
733	946	342
734	947	341
735	948	340
736	949	338
737	950	337
738	951	336
739	953	334
740	954	333
741	955	332
742	956	330
743	956	329
744	957	327
745	958	326
746	959	325
747	960	323
748	961	322
749	962	320
750	963	319
751	964	318
752	966	316
753	967	315
754	968	314
755	969	312
756	969	311
757	971	310
758	972	308
759	973	307
760	975	306
